Big Yellow Group PLC,BYG.L,LSE,United Kingdom
Bayer AG,BYR.L,LSE,United Kingdom
Cadogan Petroleum PLC,CAD.L,LSE,United Kingdom
Capital & Regional PLC,CAL.L,LSE,United Kingdom
Camellia PLC,CAM.L,LSE,United Kingdom
Capital & Counties Props,CAPC.L,LSE,United Kingdom
Capital Drilling Ltd,CAPD.L,LSE,United Kingdom
Carclo PLC,CAR.L,LSE,United Kingdom
Centaur Media PLC,CAU.L,LSE,United Kingdom
Charles Stanley Group PLC,CAY.L,LSE,United Kingdom
Close Brothers Group PLC,CBG.L,LSE,United Kingdom
Computacenter PLC,CCC.L,LSE,United Kingdom
Carnival PLC,CCL.L,LSE,United Kingdom
C&C,CCR.L,LSE,United Kingdom
Cash Converters Intl,CCVU.L,LSE,United Kingdom
Cardiff Property (The) PLC,CDFF.L,LSE,United Kingdom
Candover Investments PLC,CDI.L,LSE,United Kingdom
Canaccord Financial Inc,CF.L,LSE,United Kingdom
Caffyns PLC,CFYN.L,LSE,United Kingdom
Catlin Group Ltd,CGL.L,LSE,United Kingdom
Castings PLC,CGS.L,LSE,United Kingdom
Chemring Group PLC,CHG.L,LSE,United Kingdom
Chime Communications PLC,CHW.L,LSE,United Kingdom
City of London Group PLC,CIN.L,LSE,United Kingdom
Cineworld Group PLC,CINE.L,LSE,United Kingdom
Clarkson PLC,CKN.L,LSE,United Kingdom
Cookson Group PLC,CKSN.L,LSE,United Kingdom
Caledonia Investments PLC,CLDN.L,LSE,United Kingdom
CLS Holdings PLC,CLI.L,LSE,United Kingdom
City of London Investment,CLIG.L,LSE,United Kingdom
Carillion PLC,CLLN.L,LSE,United Kingdom
CML Microsystems PLC,CML.L,LSE,United Kingdom
Communisis PLC,CMS.L,LSE,United Kingdom
Centrica PLC,CNA.L,LSE,United Kingdom
Cairn Energy PLC,CNE.L,LSE,United Kingdom
Cobham PLC,COB.L,LSE,United Kingdom
Compagnie de Saint-Gobain,COD.L,LSE,United Kingdom
COLT Group SA,COLT.L,LSE,United Kingdom
Coms PLC,COMS.L,LSE,United Kingdom
Costain Group PLC,COST.L,LSE,United Kingdom
Compass Group PLC,CPG.L,LSE,United Kingdom
Capita PLC,CPI.L,LSE,United Kingdom
CPPGroup PLC,CPP.L,LSE,United Kingdom
Carpetright PLC,CPR.L,LSE,United Kingdom
Carphone Warehouse Group PLC,CPW.L,LSE,United Kingdom
Croda International PLC,CRDA.L,LSE,United Kingdom
Creston PLC,CRE.L,LSE,United Kingdom
Corin Group PLC,CRG.L,LSE,United Kingdom
CRH PLC,CRH.L,LSE,United Kingdom
Creightons PLC,CRL.L,LSE,United Kingdom
Carr's Milling Industries PLC,CRM.L,LSE,United Kingdom
Central Rand Gold Ltd,CRND.L,LSE,United Kingdom
Creon Resources PLC,CRO.L,LSE,United Kingdom
Capital Shopping Centres,CSCG.L,LSE,United Kingdom
Chesnara PLC,CSN.L,LSE,United Kingdom
CSR PLC,CSR.L,LSE,United Kingdom
Consort Medical PLC,CSRT.L,LSE,United Kingdom
Caterpillar Inc,CTA.L,LSE,United Kingdom
Cathay Intl Hldgs,CTI.L,LSE,United Kingdom
Clarke (T) PLC,CTO.L,LSE,United Kingdom
Charles Taylor PLC,CTR.L,LSE,United Kingdom
CEVA, Inc.,CVA.L,LSE,United Kingdom
Cable & Wireless Comms,CWC.L,LSE,United Kingdom
Cranswick PLC,CWK.L,LSE,United Kingdom
Commerzbank AG,CZB.L,LSE,United Kingdom
DCC PLC,DCC.L,LSE,United Kingdom
Dairy Crest Group PLC,DCG.L,LSE,United Kingdom
Debenhams PLC,DEB.L,LSE,United Kingdom
Diageo PLC,DGE.L,LSE,United Kingdom
Diageo PLC,DGED.L,LSE,United Kingdom
Dragon Oil PLC,DGO.L,LSE,United Kingdom
Dialight PLC,DIA.L,LSE,United Kingdom
Diamond Circle Capital PLC,DIAM.L,LSE,United Kingdom
Daejan Holdings PLC,DJAN.L,LSE,United Kingdom
De La Rue PLC,DLAR.L,LSE,United Kingdom
Derwent London PLC,DLN.L,LSE,United Kingdom
Daily Mail & Gen Trust,DMGO.L,LSE,United Kingdom
Daily Mail & Gen Trust,DMGT.L,LSE,United Kingdom
Dunelm Group PLC,DNLM.L,LSE,United Kingdom
Domino Printing Sciences PLC,DNO.L,LSE,United Kingdom
Domino's Pizza Group PLC,DOM.L,LSE,United Kingdom
Dechra Pharmaceuticals PLC,DPH.L,LSE,United Kingdom
Diploma PLC,DPLM.L,LSE,United Kingdom
DRS Data & Research Servs,DRS.L,LSE,United Kingdom
Drax Group PLC,DRX.L,LSE,United Kingdom
Development Securities PLC,DSC.L,LSE,United Kingdom
Devro PLC,DVO.L,LSE,United Kingdom
Dee Valley Group PLC,DVW.L,LSE,United Kingdom
Dee Valley Group PLC,DVWA.L,LSE,United Kingdom
e2v technologies PLC,E2V.L,LSE,United Kingdom
Electrocomponents PLC,ECM.L,LSE,United Kingdom
Electronic Data Processing PLC,EDP.L,LSE,United Kingdom
Elementis PLC,ELM.L,LSE,United Kingdom
Man Group PLC,EMG.L,LSE,United Kingdom
Endeavor International,ENDV.L,LSE,United Kingdom
EnQuest PLC,ENQ.L,LSE,United Kingdom
Eurasian Natural Res Corp,ENRC.L,LSE,United Kingdom
Euromoney Instl Investor,ERM.L,LSE,United Kingdom
Essar Energy PLC,ESSR.L,LSE,United Kingdom
Enterprise Inns PLC,ETI.L,LSE,United Kingdom
Entertainment One Ltd,ETO.L,LSE,United Kingdom
Exillon Energy PLC,EXI.L,LSE,United Kingdom
Experian PLC,EXPN.L,LSE,United Kingdom
easyJet PLC,EZJ.L,LSE,United Kingdom
Flying Brands Ltd,FBDU.L,LSE,United Kingdom
FBD Holdings PLC,FBH.L,LSE,United Kingdom
F&C,FCAM.L,LSE,United Kingdom
French Connection Group PLC,FCCN.L,LSE,United Kingdom
Findel PLC,FDL.L,LSE,United Kingdom
Fidessa Group PLC,FDSA.L,LSE,United Kingdom
Fenner PLC,FENR.L,LSE,United Kingdom
FirstGroup PLC,FGP.L,LSE,United Kingdom
Filtrona PLC,FLTR.L,LSE,United Kingdom
4imprint Group PLC,FOUR.L,LSE,United Kingdom
First Quantum Minerals Ltd,FQM.L,LSE,United Kingdom
Fresnillo PLC,FRES.L,LSE,United Kingdom
Frontline Ltd,FRO.L,LSE,United Kingdom
Fisher (James) & Sons PLC,FSJ.L,LSE,United Kingdom
Fuller Smith & Turner PLC,FSTA.L,LSE,United Kingdom
Filtronic PLC,FTC.L,LSE,United Kingdom
Fortune Oil PLC,FTO.L,LSE,United Kingdom
Future PLC,FUTR.L,LSE,United Kingdom
Fiberweb PLC,FWEB.L,LSE,United Kingdom
Ferrexpo PLC,FXPO.L,LSE,United Kingdom
Games Workshop Group PLC,GAW.L,LSE,United Kingdom
Goodwin PLC,GDWN.L,LSE,United Kingdom
General Electric Co,GEC.L,LSE,United Kingdom
Great Eastern Energy Corp,GEEC.L,LSE,United Kingdom
Gem Diamonds Ltd,GEMD.L,LSE,United Kingdom
Groupe Eurotunnel SA,GETS.L,LSE,United Kingdom
Galliford Try PLC,GFRD.L,LSE,United Kingdom
G4S PLC,GFS.L,LSE,United Kingdom
Grafton Group PLC,GFTU.L,LSE,United Kingdom
Gresham House PLC,GHE.L,LSE,United Kingdom
Gresham Computing PLC,GHT.L,LSE,United Kingdom
GKN PLC,GKN.L,LSE,United Kingdom
Glanbia PLC,GLB.L,LSE,United Kingdom
Gleeson (M J) Group PLC,GLE.L,LSE,United Kingdom
Greencore Group PLC,GNC.L,LSE,United Kingdom
Greene King PLC,GNK.L,LSE,United Kingdom
Genus PLC,GNS.L,LSE,United Kingdom
Go-Ahead Group (The) PLC,GOG.L,LSE,United Kingdom
Randgold Resources Ltd,GOLD.L,LSE,United Kingdom
Guinness Peat Group PLC,GPG.L,LSE,United Kingdom
Great Portland Estates PLC,GPOR.L,LSE,United Kingdom
Goldenport Holdings Inc,GPRT.L,LSE,United Kingdom
Greggs PLC,GRG.L,LSE,United Kingdom
Grainger PLC,GRI.L,LSE,United Kingdom
GlaxoSmithKline PLC,GSK.L,LSE,United Kingdom
Hampson Industries PLC,HAMP.L,LSE,United Kingdom
Hays PLC,HAS.L,LSE,United Kingdom
Highcroft Investments PLC,HCFT.L,LSE,United Kingdom
Hardy Oil & Gas PLC,HDY.L,LSE,United Kingdom
Headlam Group PLC,HEAD.L,LSE,United Kingdom
Halfords Group PLC,HFD.L,LSE,United Kingdom
Hilton Food Group PLC,HFG.L,LSE,United Kingdom
Henderson Group PLC,HGG.L,LSE,United Kingdom
Helphire Group PLC,HHR.L,LSE,United Kingdom
Hidong Estate PLC,HID.L,LSE,United Kingdom
Hikma Pharmaceuticals PLC,HIK.L,LSE,United Kingdom
Hill & Smith Holdings PLC,HILS.L,LSE,United Kingdom
Hargreaves Lansdown PLC,HL.L,LSE,United Kingdom
Helical Bar PLC,HLCL.L,LSE,United Kingdom
Halma PLC,HLMA.L,LSE,United Kingdom
